task_id,worker_id,case_id,case_index,seed_base,seed,split_seed,instance_id,folder_name,instance_type,declared_cells,inferred_cells,metadata_status,metadata_consistent,graph_variant,landscape,forest_path,results_path,alpha,train_count,test_count,training_pool_min,training_pool_max,test_pool_min,test_pool_max,fixed_oos_test_set,train_split_path,test_split_path,objective_family,method,method_family,fpp_mode,risk_measure,cvar_beta,cvar_lambda,projected_llbi_family,projected_llbi_variant,use_root_user_cuts,use_lifted_lower_bounds,use_projected_llbi,use_projected_coverage_llbi_poly,use_projected_path_llbi_poly,use_projected_coverage_llbi_exp,use_projected_path_llbi_exp,use_combinatorial_benders,combinatorial_benders_lift,combinatorial_benders_cut_sampling_ratio,combinatorial_benders_separate_fractional,combinatorial_benders_initial_cuts,projected_llbi_root_rounds,projected_llbi_max_cuts_per_round,projected_llbi_violation_tolerance,projected_llbi_cut_density_limit,projected_poly_max_cuts,time_limit,mip_gap,threads,split_dir,output_dir,output_csv,output_json,solution_dir,run_id,solver_command
worker_000_task_000,worker_000,case00,0,20260529,20260629,20260629,new20x20,20x20,shortest_path,400,400,ok,true,shortest_path,new20x20,new_instances/20x20,new_instances/20x20,0.01,100,1000,1,9000,9001,10000,true,results/batch/fpp_new20x20_scaling/splits/new20x20_seed20260629_train100_test1000_case0_train.csv,results/batch/fpp_new20x20_scaling/splits/new20x20_seed20260629_train100_test1000_case0_test.csv,Expected,FPP-SAA,FPP-SAA,fpp_base,expected,0.9,1.0,none,none,false,false,false,false,false,false,false,false,heuristic,0.10,true,true,10,100,1e-6,0,100000,1800,0.001,1,results/batch/fpp_new20x20_scaling/splits,results/batch/fpp_new20x20_scaling/workers/worker_000,results/batch/fpp_new20x20_scaling/workers/worker_000/batch_results_worker_000.csv,results/batch/fpp_new20x20_scaling/workers/worker_000/json/worker_000_task_000.json,results/batch/fpp_new20x20_scaling/workers/worker_000/solutions,new20x20_case00_train100_test1000_alpha0p01_fpp_saa,run-fpp-saa-oos
worker_000_task_001,worker_000,case00,0,20260529,20260629,20260629,new20x20,20x20,shortest_path,400,400,ok,true,shortest_path,new20x20,new_instances/20x20,new_instances/20x20,0.01,100,1000,1,9000,9001,10000,true,results/batch/fpp_new20x20_scaling/splits/new20x20_seed20260629_train100_test1000_case0_train.csv,results/batch/fpp_new20x20_scaling/splits/new20x20_seed20260629_train100_test1000_case0_test.csv,Expected,FPP-Branch-Benders-RootCuts,FPP-Branch-Benders,,expected,0.9,1.0,none,none,true,false,false,false,false,false,false,false,heuristic,0.10,true,true,10,100,1e-6,0,100000,1800,0.001,1,results/batch/fpp_new20x20_scaling/splits,results/batch/fpp_new20x20_scaling/workers/worker_000,results/batch/fpp_new20x20_scaling/workers/worker_000/batch_results_worker_000.csv,results/batch/fpp_new20x20_scaling/workers/worker_000/json/worker_000_task_001.json,results/batch/fpp_new20x20_scaling/workers/worker_000/solutions,new20x20_case00_train100_test1000_alpha0p01_fpp_branch_benders_rootcuts,run-fpp-branch-benders-oos
worker_000_task_002,worker_000,case00,0,20260529,20260629,20260629,new20x20,20x20,shortest_path,400,400,ok,true,shortest_path,new20x20,new_instances/20x20,new_instances/20x20,0.01,100,1000,1,9000,9001,10000,true,results/batch/fpp_new20x20_scaling/splits/new20x20_seed20260629_train100_test1000_case0_train.csv,results/batch/fpp_new20x20_scaling/splits/new20x20_seed20260629_train100_test1000_case0_test.csv,Expected,FPP-Branch-Benders-LLBI-RootCuts,FPP-Branch-Benders,,expected,0.9,1.0,none,none,true,true,false,false,false,false,false,false,heuristic,0.10,true,true,10,100,1e-6,0,100000,1800,0.001,1,results/batch/fpp_new20x20_scaling/splits,results/batch/fpp_new20x20_scaling/workers/worker_000,results/batch/fpp_new20x20_scaling/workers/worker_000/batch_results_worker_000.csv,results/batch/fpp_new20x20_scaling/workers/worker_000/json/worker_000_task_002.json,results/batch/fpp_new20x20_scaling/workers/worker_000/solutions,new20x20_case00_train100_test1000_alpha0p01_fpp_branch_benders_llbi_rootcuts,run-fpp-branch-benders-oos
worker_000_task_003,worker_000,case00,0,20260529,20260629,20260629,new20x20,20x20,shortest_path,400,400,ok,true,shortest_path,new20x20,new_instances/20x20,new_instances/20x20,0.01,100,1000,1,9000,9001,10000,true,results/batch/fpp_new20x20_scaling/splits/new20x20_seed20260629_train100_test1000_case0_train.csv,results/batch/fpp_new20x20_scaling/splits/new20x20_seed20260629_train100_test1000_case0_test.csv,Expected,FPP-Branch-Benders-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders,,expected,0.9,1.0,coverage,exp,true,false,true,false,false,true,false,false,heuristic,0.10,true,true,10,100,1e-6,0,100000,1800,0.001,1,results/batch/fpp_new20x20_scaling/splits,results/batch/fpp_new20x20_scaling/workers/worker_000,results/batch/fpp_new20x20_scaling/workers/worker_000/batch_results_worker_000.csv,results/batch/fpp_new20x20_scaling/workers/worker_000/json/worker_000_task_003.json,results/batch/fpp_new20x20_scaling/workers/worker_000/solutions,new20x20_case00_train100_test1000_alpha0p01_fpp_branch_benders_projectedcoveragellbi_exp_rootcuts,run-fpp-branch-benders-oos
worker_000_task_004,worker_000,case00,0,20260529,20260629,20260629,new20x20,20x20,shortest_path,400,400,ok,true,shortest_path,new20x20,new_instances/20x20,new_instances/20x20,0.01,100,1000,1,9000,9001,10000,true,results/batch/fpp_new20x20_scaling/splits/new20x20_seed20260629_train100_test1000_case0_train.csv,results/batch/fpp_new20x20_scaling/splits/new20x20_seed20260629_train100_test1000_case0_test.csv,Expected,FPP-Branch-Benders-ProjectedPathLLBI-exp-RootCuts,FPP-Branch-Benders,,expected,0.9,1.0,path,exp,true,false,true,false,false,false,true,false,heuristic,0.10,true,true,10,100,1e-6,0,100000,1800,0.001,1,results/batch/fpp_new20x20_scaling/splits,results/batch/fpp_new20x20_scaling/workers/worker_000,results/batch/fpp_new20x20_scaling/workers/worker_000/batch_results_worker_000.csv,results/batch/fpp_new20x20_scaling/workers/worker_000/json/worker_000_task_004.json,results/batch/fpp_new20x20_scaling/workers/worker_000/solutions,new20x20_case00_train100_test1000_alpha0p01_fpp_branch_benders_projectedpathllbi_exp_rootcuts,run-fpp-branch-benders-oos
worker_000_task_005,worker_000,case00,0,20260529,20260629,20260629,new20x20,20x20,shortest_path,400,400,ok,true,shortest_path,new20x20,new_instances/20x20,new_instances/20x20,0.01,100,1000,1,9000,9001,10000,true,results/batch/fpp_new20x20_scaling/splits/new20x20_seed20260629_train100_test1000_case0_train.csv,results/batch/fpp_new20x20_scaling/splits/new20x20_seed20260629_train100_test1000_case0_test.csv,Expected,FPP-Branch-Benders-Combinatorial,FPP-Branch-Benders-Combinatorial,,expected,0.9,1.0,none,none,false,false,false,false,false,false,false,true,heuristic,0.10,true,true,10,100,1e-6,0,100000,1800,0.001,1,results/batch/fpp_new20x20_scaling/splits,results/batch/fpp_new20x20_scaling/workers/worker_000,results/batch/fpp_new20x20_scaling/workers/worker_000/batch_results_worker_000.csv,results/batch/fpp_new20x20_scaling/workers/worker_000/json/worker_000_task_005.json,results/batch/fpp_new20x20_scaling/workers/worker_000/solutions,new20x20_case00_train100_test1000_alpha0p01_fpp_branch_benders_combinatorial,run-fpp-branch-benders-oos
worker_000_task_006,worker_000,case00,0,20260529,20260629,20260629,new20x20,20x20,shortest_path,400,400,ok,true,shortest_path,new20x20,new_instances/20x20,new_instances/20x20,0.01,100,1000,1,9000,9001,10000,true,results/batch/fpp_new20x20_scaling/splits/new20x20_seed20260629_train100_test1000_case0_train.csv,results/batch/fpp_new20x20_scaling/splits/new20x20_seed20260629_train100_test1000_case0_test.csv,CVaR,FPP-SAA-CVaR,FPP-SAA,fpp_base,cvar,0.9,1.0,none,none,false,false,false,false,false,false,false,false,heuristic,0.10,true,true,10,100,1e-6,0,100000,1800,0.001,1,results/batch/fpp_new20x20_scaling/splits,results/batch/fpp_new20x20_scaling/workers/worker_000,results/batch/fpp_new20x20_scaling/workers/worker_000/batch_results_worker_000.csv,results/batch/fpp_new20x20_scaling/workers/worker_000/json/worker_000_task_006.json,results/batch/fpp_new20x20_scaling/workers/worker_000/solutions,new20x20_case00_train100_test1000_alpha0p01_fpp_saa_cvar,run-fpp-saa-oos
worker_000_task_007,worker_000,case00,0,20260529,20260629,20260629,new20x20,20x20,shortest_path,400,400,ok,true,shortest_path,new20x20,new_instances/20x20,new_instances/20x20,0.01,100,1000,1,9000,9001,10000,true,results/batch/fpp_new20x20_scaling/splits/new20x20_seed20260629_train100_test1000_case0_train.csv,results/batch/fpp_new20x20_scaling/splits/new20x20_seed20260629_train100_test1000_case0_test.csv,CVaR,FPP-Branch-Benders-CVaR-RootCuts,FPP-Branch-Benders,,cvar,0.9,1.0,none,none,true,false,false,false,false,false,false,false,heuristic,0.10,true,true,10,100,1e-6,0,100000,1800,0.001,1,results/batch/fpp_new20x20_scaling/splits,results/batch/fpp_new20x20_scaling/workers/worker_000,results/batch/fpp_new20x20_scaling/workers/worker_000/batch_results_worker_000.csv,results/batch/fpp_new20x20_scaling/workers/worker_000/json/worker_000_task_007.json,results/batch/fpp_new20x20_scaling/workers/worker_000/solutions,new20x20_case00_train100_test1000_alpha0p01_fpp_branch_benders_cvar_rootcuts,run-fpp-branch-benders-oos
worker_000_task_008,worker_000,case00,0,20260529,20260629,20260629,new20x20,20x20,shortest_path,400,400,ok,true,shortest_path,new20x20,new_instances/20x20,new_instances/20x20,0.01,100,1000,1,9000,9001,10000,true,results/batch/fpp_new20x20_scaling/splits/new20x20_seed20260629_train100_test1000_case0_train.csv,results/batch/fpp_new20x20_scaling/splits/new20x20_seed20260629_train100_test1000_case0_test.csv,CVaR,FPP-Branch-Benders-CVaR-LLBI-RootCuts,FPP-Branch-Benders,,cvar,0.9,1.0,none,none,true,true,false,false,false,false,false,false,heuristic,0.10,true,true,10,100,1e-6,0,100000,1800,0.001,1,results/batch/fpp_new20x20_scaling/splits,results/batch/fpp_new20x20_scaling/workers/worker_000,results/batch/fpp_new20x20_scaling/workers/worker_000/batch_results_worker_000.csv,results/batch/fpp_new20x20_scaling/workers/worker_000/json/worker_000_task_008.json,results/batch/fpp_new20x20_scaling/workers/worker_000/solutions,new20x20_case00_train100_test1000_alpha0p01_fpp_branch_benders_cvar_llbi_rootcuts,run-fpp-branch-benders-oos
worker_000_task_009,worker_000,case00,0,20260529,20260629,20260629,new20x20,20x20,shortest_path,400,400,ok,true,shortest_path,new20x20,new_instances/20x20,new_instances/20x20,0.01,100,1000,1,9000,9001,10000,true,results/batch/fpp_new20x20_scaling/splits/new20x20_seed20260629_train100_test1000_case0_train.csv,results/batch/fpp_new20x20_scaling/splits/new20x20_seed20260629_train100_test1000_case0_test.csv,CVaR,FPP-Branch-Benders-CVaR-ProjectedCoverageLLBI-exp-RootCuts,FPP-Branch-Benders,,cvar,0.9,1.0,coverage,exp,true,false,true,false,false,true,false,false,heuristic,0.10,true,true,10,100,1e-6,0,100000,1800,0.001,1,results/batch/fpp_new20x20_scaling/splits,results/batch/fpp_new20x20_scaling/workers/worker_000,results/batch/fpp_new20x20_scaling/workers/worker_000/batch_results_worker_000.csv,results/batch/fpp_new20x20_scaling/workers/worker_000/json/worker_000_task_009.json,results/batch/fpp_new20x20_scaling/workers/worker_000/solutions,new20x20_case00_train100_test1000_alpha0p01_fpp_branch_benders_cvar_projectedcoveragellbi_exp_rootcuts,run-fpp-branch-benders-oos
