task_id,worker_id,case_id,seed_base,seed,landscape,alpha,train_count,test_count,objective_family,method,method_family,fpp_mode,risk_measure,cvar_beta,cvar_lambda,lb_config,use_llbi,use_coverage_llbi,use_path_llbi,use_root_cuts,is_combinatorial,combinatorial_benders_lift,combinatorial_benders_cut_sampling_ratio,combinatorial_benders_separate_fractional,combinatorial_benders_initial_cuts,path_llbi_max_paths_per_node,time_limit,mip_gap,threads,split_dir,output_dir,output_csv,output_json,solution_dir,run_id
worker_00_task_013,worker_00,case00,20260601,20260601,Sub20,0.01,100,900,Expected,FPP-Branch-Benders-PathLLBI-RootCuts,FPP-Branch-Benders,,expected,0.9,1.0,PathLLBI,false,false,true,true,false,,,,,8,300,0.001,1,results/batch/sub20_alpha001_002_fpp_exact_tl300/splits,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/batch_results_worker_00.csv,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/json/worker_00_task_013.json,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/solutions,sub20_case00_alpha001_fpp_branch_benders_pathllbi_rootcuts_na_pathllbi
worker_00_task_014,worker_00,case00,20260601,20260601,Sub20,0.01,100,900,Expected,FPP-Branch-Benders-CoverageLLBI-PathLLBI,FPP-Branch-Benders,,expected,0.9,1.0,CoverageLLBI+PathLLBI,false,true,true,false,false,,,,,8,300,0.001,1,results/batch/sub20_alpha001_002_fpp_exact_tl300/splits,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/batch_results_worker_00.csv,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/json/worker_00_task_014.json,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/solutions,sub20_case00_alpha001_fpp_branch_benders_coveragellbi_pathllbi_na_coveragellbi_pathllbi
worker_00_task_015,worker_00,case00,20260601,20260601,Sub20,0.01,100,900,Expected,FPP-Branch-Benders-CoverageLLBI-PathLLBI-RootCuts,FPP-Branch-Benders,,expected,0.9,1.0,CoverageLLBI+PathLLBI,false,true,true,true,false,,,,,8,300,0.001,1,results/batch/sub20_alpha001_002_fpp_exact_tl300/splits,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/batch_results_worker_00.csv,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/json/worker_00_task_015.json,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/solutions,sub20_case00_alpha001_fpp_branch_benders_coveragellbi_pathllbi_rootcuts_na_coveragellbi_pathllbi
worker_00_task_016,worker_00,case00,20260601,20260601,Sub20,0.01,100,900,Expected,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI,FPP-Branch-Benders,,expected,0.9,1.0,LLBI+CoverageLLBI+PathLLBI,true,true,true,false,false,,,,,8,300,0.001,1,results/batch/sub20_alpha001_002_fpp_exact_tl300/splits,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/batch_results_worker_00.csv,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/json/worker_00_task_016.json,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/solutions,sub20_case00_alpha001_fpp_branch_benders_llbi_coveragellbi_pathllbi_na_llbi_coveragellbi_pathllbi
worker_00_task_017,worker_00,case00,20260601,20260601,Sub20,0.01,100,900,Expected,FPP-Branch-Benders-LLBI-CoverageLLBI-PathLLBI-RootCuts,FPP-Branch-Benders,,expected,0.9,1.0,LLBI+CoverageLLBI+PathLLBI,true,true,true,true,false,,,,,8,300,0.001,1,results/batch/sub20_alpha001_002_fpp_exact_tl300/splits,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/batch_results_worker_00.csv,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/json/worker_00_task_017.json,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/solutions,sub20_case00_alpha001_fpp_branch_benders_llbi_coveragellbi_pathllbi_rootcuts_na_llbi_coveragellbi_pathllbi
worker_00_task_018,worker_00,case00,20260601,20260601,Sub20,0.01,100,900,CVaR,FPP-Branch-Benders-CVaR,FPP-Branch-Benders,,cvar,0.9,1.0,None,false,false,false,false,false,,,,,8,300,0.001,1,results/batch/sub20_alpha001_002_fpp_exact_tl300/splits,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/batch_results_worker_00.csv,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/json/worker_00_task_018.json,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/solutions,sub20_case00_alpha001_fpp_branch_benders_cvar_na_none
worker_00_task_019,worker_00,case00,20260601,20260601,Sub20,0.01,100,900,CVaR,FPP-Branch-Benders-CVaR-RootCuts,FPP-Branch-Benders,,cvar,0.9,1.0,None,false,false,false,true,false,,,,,8,300,0.001,1,results/batch/sub20_alpha001_002_fpp_exact_tl300/splits,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/batch_results_worker_00.csv,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/json/worker_00_task_019.json,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/solutions,sub20_case00_alpha001_fpp_branch_benders_cvar_rootcuts_na_none
worker_00_task_020,worker_00,case00,20260601,20260601,Sub20,0.01,100,900,CVaR,FPP-Branch-Benders-CVaR-LLBI,FPP-Branch-Benders,,cvar,0.9,1.0,LLBI,true,false,false,false,false,,,,,8,300,0.001,1,results/batch/sub20_alpha001_002_fpp_exact_tl300/splits,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/batch_results_worker_00.csv,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/json/worker_00_task_020.json,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/solutions,sub20_case00_alpha001_fpp_branch_benders_cvar_llbi_na_llbi
worker_00_task_021,worker_00,case00,20260601,20260601,Sub20,0.01,100,900,CVaR,FPP-Branch-Benders-CVaR-LLBI-RootCuts,FPP-Branch-Benders,,cvar,0.9,1.0,LLBI,true,false,false,true,false,,,,,8,300,0.001,1,results/batch/sub20_alpha001_002_fpp_exact_tl300/splits,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/batch_results_worker_00.csv,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/json/worker_00_task_021.json,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/solutions,sub20_case00_alpha001_fpp_branch_benders_cvar_llbi_rootcuts_na_llbi
worker_00_task_022,worker_00,case00,20260601,20260601,Sub20,0.01,100,900,CVaR,FPP-Branch-Benders-CVaR-CoverageLLBI,FPP-Branch-Benders,,cvar,0.9,1.0,CoverageLLBI,false,true,false,false,false,,,,,8,300,0.001,1,results/batch/sub20_alpha001_002_fpp_exact_tl300/splits,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/batch_results_worker_00.csv,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/json/worker_00_task_022.json,results/batch/sub20_alpha001_002_fpp_exact_tl300/worker_00/solutions,sub20_case00_alpha001_fpp_branch_benders_cvar_coveragellbi_na_coveragellbi
